,encoder,decoder,img_size,batch_size,epoch,lr,scheduler,score
0,mit_b2,FPN,512,8,120,0.0001,step_lr,0.487226843787507
1,mit_b2,unet,512,8,120,0.0001,step_lr,0.510588099657167
2,timm-regnetx_064,FPN,512,8,120,0.0001,step_lr,0.465834315434808
3,timm-regnetx_064,unet,512,8,120,0.0001,step_lr,0.476620420595437
