,img_size,loss,encoder,decoder,batch_size,epoch,lr,scheduler,score
0,512,Jaccard,mit_b2,unet,8,120,0.0001,cosine,0.5115886616178731
1,256,Jaccard,mit_b2,unet,8,120,0.0001,cosine,0.38417504714183304
